0x80	U+0080
0x81	U+0081
0x82	U+0082
0x83	U+0083
0x84	U+0084
0x85	U+0085
0x86	U+0086
0x87	U+0087
0x88	U+0088
0x89	U+0089
0x8A	U+008A
0x8B	U+008B
0x8C	U+008C
0x8D	U+008D
0x8E	U+008E
0x8F	U+008F
0x90	U+0090
0x91	U+0091
0x92	U+0092
0x93	U+0093
0x94	U+0094
0x95	U+0095
0x96	U+0096
0x97	U+0097
0x98	U+0098
0x99	U+0099
0x9A	U+009A
0x9B	U+009B
0x9C	U+009C
0x9D	U+009D
0x9E	U+009E
0x9F	U+009F
0xA0	U+00A0
0xA1	U+058E
0xA2	U+0587
0xA3	U+0589
0xA4	U+FF09
0xA5	U+FF08
0xA6	U+00BB
0xA7	U+00AB
0xA8	U+2014
0xA9	U+2024
0xAA	U+055D
0xAB	U+FF0C
0xAC	U+2010
0xAD	U+058A
0xAE	U+2026
0xAF	U+055C
0xB0	U+055B
0xB1	U+055E
0xB2	U+0531
0xB3	U+0561
0xB4	U+0532
0xB5	U+0562
0xB6	U+0533
0xB7	U+0563
0xB8	U+0534
0xB9	U+0564
0xBA	U+0535
0xBB	U+0565
0xBC	U+0536
0xBD	U+0566
0xBE	U+0537
0xBF	U+0567
0xC0	U+0538
0xC1	U+0568
0xC2	U+0539
0xC3	U+0569
0xC4	U+053A
0xC5	U+056A
0xC6	U+053B
0xC7	U+056B
0xC8	U+053C
0xC9	U+056C
0xCA	U+053D
0xCB	U+056D
0xCC	U+053E
0xCD	U+056E
0xCE	U+053F
0xCF	U+056F
0xD0	U+0540
0xD1	U+0570
0xD2	U+0541
0xD3	U+0571
0xD4	U+0542
0xD5	U+0572
0xD6	U+0543
0xD7	U+0573
0xD8	U+0544
0xD9	U+0574
0xDA	U+0545
0xDB	U+0575
0xDC	U+0546
0xDD	U+0576
0xDE	U+0547
0xDF	U+0577
0xE0	U+0548
0xE1	U+0578
0xE2	U+0549
0xE3	U+0579
0xE4	U+054A
0xE5	U+057A
0xE6	U+054B
0xE7	U+057B
0xE8	U+054C
0xE9	U+057C
0xEA	U+054D
0xEB	U+057D
0xEC	U+054E
0xED	U+057E
0xEE	U+054F
0xEF	U+057F
0xF0	U+0550
0xF1	U+0580
0xF2	U+0551
0xF3	U+0581
0xF4	U+0552
0xF5	U+0582
0xF6	U+0553
0xF7	U+0583
0xF8	U+0554
0xF9	U+0584
0xFA	U+0555
0xFB	U+0585
0xFC	U+0556
0xFD	U+0586
0xFE	U+055A
0xFF	U+FF07
