0x80	U+0106
0x81	U+00FC
0x82	U+00E9
0x83	U+0101
0x84	U+00E4
0x85	U+0123
0x86	U+00E5
0x87	U+0107
0x88	U+0142
0x89	U+0113
0x8A	U+0156
0x8B	U+0157
0x8C	U+012B
0x8D	U+0179
0x8E	U+00C4
0x8F	U+00C5
0x90	U+00C9
0x91	U+00E6
0x92	U+00C6
0x93	U+014D
0x94	U+00F6
0x95	U+0122
0x96	U+00A2
0x97	U+015A
0x98	U+015B
0x99	U+00D6
0x9A	U+00DC
0x9B	U+00F8
0x9C	U+00A3
0x9D	U+00D8
0x9E	U+00D7
0x9F	U+00A4
0xA0	U+0100
0xA1	U+012A
0xA2	U+00F3
0xA3	U+017B
0xA4	U+017C
0xA5	U+017A
0xA6	U+201D
0xA7	U+00A6
0xA8	U+00A9
0xA9	U+00AE
0xAA	U+00AC
0xAB	U+00BD
0xAC	U+00BC
0xAD	U+0141
0xAE	U+00AB
0xAF	U+00BB
0xB0	U+2591
0xB1	U+2592
0xB2	U+2593
0xB3	U+2502
0xB4	U+2524
0xB5	U+0104
0xB6	U+010C
0xB7	U+0118
0xB8	U+0116
0xB9	U+2563
0xBA	U+2551
0xBB	U+2557
0xBC	U+255D
0xBD	U+012E
0xBE	U+0160
0xBF	U+2510
0xC0	U+2514
0xC1	U+2534
0xC2	U+252C
0xC3	U+251C
0xC4	U+2500
0xC5	U+253C
0xC6	U+0172
0xC7	U+016A
0xC8	U+255A
0xC9	U+2554
0xCA	U+2569
0xCB	U+2566
0xCC	U+2560
0xCD	U+2550
0xCE	U+256C
0xCF	U+017D
0xD0	U+0105
0xD1	U+010D
0xD2	U+0119
0xD3	U+0117
0xD4	U+012F
0xD5	U+0161
0xD6	U+0173
0xD7	U+016B
0xD8	U+017E
0xD9	U+2518
0xDA	U+250C
0xDB	U+2588
0xDC	U+2584
0xDD	U+258C
0xDE	U+2590
0xDF	U+2580
0xE0	U+00D3
0xE1	U+00DF
0xE2	U+014C
0xE3	U+0143
0xE4	U+00F5
0xE5	U+00D5
0xE6	U+00B5
0xE7	U+0144
0xE8	U+0136
0xE9	U+0137
0xEA	U+013B
0xEB	U+013C
0xEC	U+0146
0xED	U+0112
0xEE	U+0145
0xEF	U+2019
0xF0	U+00AD
0xF1	U+00B1
0xF2	U+201C
0xF3	U+00BE
0xF4	U+00B6
0xF5	U+00A7
0xF6	U+00F7
0xF7	U+201E
0xF8	U+00B0
0xF9	U+2219
0xFA	U+00B7
0xFB	U+00B9
0xFC	U+00B3
0xFD	U+00B2
0xFE	U+25A0
0xFF	U+00A0
