0x80	U+00C7
0x81	U+00FC
0x82	U+00E9
0x83	U+00E2
0x84	U+00E4
0x85	U+016F
0x86	U+0107
0x87	U+00E7
0x88	U+0142
0x89	U+00EB
0x8A	U+0150
0x8B	U+0151
0x8C	U+00EE
0x8D	U+0179
0x8E	U+00C4
0x8F	U+0106
0x90	U+00C9
0x91	U+0139
0x92	U+013A
0x93	U+00F4
0x94	U+00F6
0x95	U+013D
0x96	U+013E
0x97	U+015A
0x98	U+015B
0x99	U+00D6
0x9A	U+00DC
0x9B	U+0164
0x9C	U+0165
0x9D	U+0141
0x9E	U+00D7
0x9F	U+010D
0xA0	U+00E1
0xA1	U+00ED
0xA2	U+00F3
0xA3	U+00FA
0xA4	U+0104
0xA5	U+0105
0xA6	U+017D
0xA7	U+017E
0xA8	U+0118
0xA9	U+0119
0xAA	U+00AC
0xAB	U+017A
0xAC	U+010C
0xAD	U+015F
0xAE	U+00AB
0xAF	U+00BB
0xB0	U+2591
0xB1	U+2592
0xB2	U+2593
0xB3	U+2502
0xB4	U+2524
0xB5	U+00C1
0xB6	U+00C2
0xB7	U+011A
0xB8	U+015E
0xB9	U+2563
0xBA	U+2551
0xBB	U+2557
0xBC	U+255D
0xBD	U+017B
0xBE	U+017C
0xBF	U+2510
0xC0	U+2514
0xC1	U+2534
0xC2	U+252C
0xC3	U+251C
0xC4	U+2500
0xC5	U+253C
0xC6	U+0102
0xC7	U+0103
0xC8	U+255A
0xC9	U+2554
0xCA	U+2569
0xCB	U+2566
0xCC	U+2560
0xCD	U+2550
0xCE	U+256C
0xCF	U+00A4
0xD0	U+0111
0xD1	U+0110
0xD2	U+010E
0xD3	U+00CB
0xD4	U+010F
0xD5	U+0147
0xD6	U+00CD
0xD7	U+00CE
0xD8	U+011B
0xD9	U+2518
0xDA	U+250C
0xDB	U+2588
0xDC	U+2584
0xDD	U+0162
0xDE	U+016E
0xDF	U+2580
0xE0	U+00D3
0xE1	U+00DF
0xE2	U+00D4
0xE3	U+0143
0xE4	U+0144
0xE5	U+0148
0xE6	U+0160
0xE7	U+0161
0xE8	U+0154
0xE9	U+00DA
0xEA	U+0155
0xEB	U+0170
0xEC	U+00FD
0xED	U+00DD
0xEE	U+0163
0xEF	U+00B4
0xF0	U+00AD
0xF1	U+02DD
0xF2	U+02DB
0xF3	U+02C7
0xF4	U+02D8
0xF5	U+00A7
0xF6	U+00F7
0xF7	U+00B8
0xF8	U+00B0
0xF9	U+00A8
0xFA	U+02D9
0xFB	U+0171
0xFC	U+0158
0xFD	U+0159
0xFE	U+25A0
0xFF	U+00A0
