0x80	U+00C4
0x81	U+0100
0x82	U+0101
0x83	U+00C9
0x84	U+0104
0x85	U+00D6
0x86	U+00DC
0x87	U+00E1
0x88	U+0105
0x89	U+010C
0x8A	U+00E4
0x8B	U+010D
0x8C	U+0106
0x8D	U+0107
0x8E	U+00E9
0x8F	U+0179
0x90	U+017A
0x91	U+010E
0x92	U+00ED
0x93	U+010F
0x94	U+0112
0x95	U+0113
0x96	U+0116
0x97	U+00F3
0x98	U+0117
0x99	U+00F4
0x9A	U+00F6
0x9B	U+00F5
0x9C	U+00FA
0x9D	U+011A
0x9E	U+011B
0x9F	U+00FC
0xA0	U+2020
0xA1	U+00B0
0xA2	U+0118
0xA3	U+00A3
0xA4	U+00A7
0xA5	U+2022
0xA6	U+00B6
0xA7	U+00DF
0xA8	U+00AE
0xA9	U+00A9
0xAA	U+2122
0xAB	U+0119
0xAC	U+00A8
0xAD	U+2260
0xAE	U+0123
0xAF	U+012E
0xB0	U+012F
0xB1	U+012A
0xB2	U+2264
0xB3	U+2265
0xB4	U+012B
0xB5	U+0136
0xB6	U+2202
0xB7	U+2211
0xB8	U+0142
0xB9	U+013B
0xBA	U+013C
0xBB	U+013D
0xBC	U+013E
0xBD	U+0139
0xBE	U+013A
0xBF	U+0145
0xC0	U+0146
0xC1	U+0143
0xC2	U+00AC
0xC3	U+221A
0xC4	U+0144
0xC5	U+0147
0xC6	U+2206
0xC7	U+00AB
0xC8	U+00BB
0xC9	U+2026
0xCA	U+00A0
0xCB	U+0148
0xCC	U+0150
0xCD	U+00D5
0xCE	U+0151
0xCF	U+014C
0xD0	U+2013
0xD1	U+2014
0xD2	U+201C
0xD3	U+201D
0xD4	U+2018
0xD5	U+2019
0xD6	U+00F7
0xD7	U+25CA
0xD8	U+014D
0xD9	U+0154
0xDA	U+0155
0xDB	U+0158
0xDC	U+2039
0xDD	U+203A
0xDE	U+0159
0xDF	U+0156
0xE0	U+0157
0xE1	U+0160
0xE2	U+201A
0xE3	U+201E
0xE4	U+0161
0xE5	U+015A
0xE6	U+015B
0xE7	U+00C1
0xE8	U+0164
0xE9	U+0165
0xEA	U+00CD
0xEB	U+017D
0xEC	U+017E
0xED	U+016A
0xEE	U+00D3
0xEF	U+00D4
0xF0	U+016B
0xF1	U+016E
0xF2	U+00DA
0xF3	U+016F
0xF4	U+0170
0xF5	U+0171
0xF6	U+0172
0xF7	U+0173
0xF8	U+00DD
0xF9	U+00FD
0xFA	U+0137
0xFB	U+017B
0xFC	U+0141
0xFD	U+017C
0xFE	U+0122
0xFF	U+02C7
