0x80	U+0080
0x81	U+0081
0x82	U+00C6
0x83	U+0192
0x84	U+00E6
0x85	U+2026
0x86	U+2020
0x87	U+2021
0x88	U+0088
0x89	U+2030
0x8A	U+00A8
0x8B	U+2039
0x8C	U+0309
0x8D	U+008D
0x8E	U+008E
0x8F	U+008F
0x90	U+0090
0x91	U+2018
0x92	U+2019
0x93	U+201C
0x94	U+201D
0x95	U+0095
0x96	U+2013
0x97	U+2014
0x98	U+0098
0x99	U+2122
0x9A	U+00A8
0x9B	U+009B
0x9C	U+0309
0x9D	U+0153
0x9E	U+009E
0x9F	U+1EF4
0xA0	U+00A0
0xA1	U+00A1
0xA2	U+00A2
0xA3	U+00A3
0xA4	U+00A4
0xA5	U+00A5
0xA6	U+00A6
0xA7	U+00A7
0xA8	U+030A
0xA9	U+00A9
0xAA	U+25A0
0xAB	U+00AB
0xAC	U+0152
0xAD	U+00AD
0xAE	U+00AE
0xAF	U+00AF
0xB0	U+2022
0xB1	U+00B1
0xB2	U+00B2
0xB3	U+00B3
0xB4	U+030C
0xB5	U+00B5
0xB6	U+00B6
0xB7	U+030A
0xB8	U+030C
0xB9	U+00B9
0xBA	U+25A1
0xBB	U+00BB
0xBC	U+00BC
0xBD	U+00BD
0xBE	U+00BE
0xBF	U+00BF
0xC0	U+0302 U+0300
0xC1	U+0302 U+0301
0xC2	U+0302
0xC3	U+0302 U+0303
0xC4	U+0323 U+0302
0xC5	U+0302 U+0309
0xC6	U+1EC8
0xC7	U+00C7
0xC8	U+0306 U+0300
0xC9	U+0306 U+0301
0xCA	U+0306
0xCB	U+0323 U+0306
0xCC	U+00CC
0xCD	U+00CD
0xCE	U+1EF4
0xCF	U+0323
0xD0	U+00CF
0xD1	U+0110
0xD2	U+1ECA
0xD3	U+0128
0xD4	U+01A0
0xD5	U+0303
0xD6	U+01AF
0xD7	U+00D7
0xD8	U+0300
0xD9	U+0301
0xDA	U+0306 U+0309
0xDB	U+0309
0xDC	U+0306 U+0303
0xDD	U+00CE
0xDE	U+00D8
0xDF	U+00DF
0xE0	U+0302 U+0300
0xE1	U+0302 U+0301
0xE2	U+0302
0xE3	U+0302 U+0303
0xE4	U+0323 U+0302
0xE5	U+0302 U+0309
0xE6	U+1EC9
0xE7	U+00E7
0xE8	U+0306 U+0300
0xE9	U+0306 U+0301
0xEA	U+0306
0xEB	U+0323 U+0306
0xEC	U+00EC
0xED	U+00ED
0xEE	U+1EF5
0xEF	U+0323
0xF0	U+00EF
0xF1	U+0111
0xF2	U+1ECB
0xF3	U+0129
0xF4	U+01A1
0xF5	U+0303
0xF6	U+01B0
0xF7	U+00F7
0xF8	U+0300
0xF9	U+0301
0xFA	U+0306 U+0309
0xFB	U+0309
0xFC	U+0306 U+0303
0xFD	U+00EE
0xFE	U+00F8
0xFF	U+1EF5
