## Source; <https://web.archive.org/web/20031005010942/http://www2.tron.org/set08/imode/imode.html>
9-922B	9-9231
9-922C	9-9232
9-922D	9-9233
9-922E	9-9236
9-922F	9-9237
9-9230	9-9238
9-9231	9-923C
9-9232	9-923D
9-9233	9-923E
9-9234	9-923F
9-9235	9-9240
9-9236	9-9241
9-9237	9-9242
9-9238	9-9243
9-9239	9-9244
9-923A	9-9245
9-923B	9-9246
9-923C	9-9247
9-923D	9-9248
9-923E	9-9249
9-923F	9-924A
9-9240	9-924B
9-9241	9-924C
9-9242	9-924D
9-9243	9-924E
9-9244	9-924F
9-9245	9-9250
9-9246	9-9251
9-9247	9-9252

## Source: <https://web.archive.org/web/20030819122253/http://www2.tron.org/set08/gt/gt.html>
2-2272	2-4330
2-4C59	2-973D
2-C95A	2-C94D
2-E57E	2-E571
2-FB24	2-FB2B
2-37B0	2-3780
2-6BE4	2-6BCF
2-73B1	2-73B9
2-B0B1	2-E455
2-BBD2	2-BDA3
2-BD92	2-BD9E
2-BDCF	2-BFD3
2-BEE1	2-BEE0
2-BEF2	2-BEBE
2-C9F3	2-CA97
2-E4FD	3-C637
3-3D7C	3-3E24

## Source: <https://web.archive.org/web/20080513052728/http://www2.tron.org/set09/gt.html>
2-5765	2-577C
2-F275	2-F124

