## Source: <https://www.eonet.ne.jp/~kenn/wenjian.html>
## License: "ご自由にお使い下さい。"
* JIS3・4→各国
1-2254	1-21AD
1-2936	1-A244
1-2E24	1-B029
1-2E25	1-B02C
1-2E26	1-B02D
1-2E27	1-B03D
1-2E28	1-B048
1-2E29	1-B04F
1-2E2A	1-B051
1-2E2B	1-B054
1-2E2C	1-B056
1-2E2D	1-B05F
1-2E2E	1-B068
1-2E2F	1-B069
1-2E30	1-B06E
1-2E31	1-B070
1-2E32	1-B072
1-2E33	1-B073
1-2E34	1-B07B
1-2E35	1-B123
1-2E36	1-B129
1-2E37	1-B12A
1-2E38	1-4393
1-2E39	1-B13B
1-2E3A	1-B142
1-2E3B	1-B14A
1-2E3C	1-E392
1-2E3D	1-B14F
1-2E3E	1-B153
1-2E3F	1-B159
1-2E40	1-B15A
1-2E41	1-B15F
1-2E42	1-B176
1-2E43	1-B160
1-2E44	1-B223
1-2E45	1-B236
1-2E46	1-B251
1-2E47	1-B238
1-2E48	1-B241
1-2E49	1-E8A9
1-2E4A	1-B24A
1-2E4B	1-B249
1-2E4C	1-B24D
1-2E4D	1-B258
1-2E4E	1-B262
1-2E4F	1-B266
1-2E51	1-B269
1-2E52	1-B26A
1-2E54	1-B275
1-2E57	1-B328
1-2E58	1-B329
1-2E59	1-B32B
1-2E5A	1-B330
1-2E5C	1-B334
1-2E5D	1-B335
1-2E5E	1-B33F
1-2E5F	1-B341
1-2E60	1-B347
1-2E61	1-B352
1-2E62	1-B368
1-2E63	1-3AF0
1-2E64	1-B369
1-2E65	1-4CC3
1-2E66	1-B36D
1-2E67	1-B36E
1-2E68	1-3DE5
1-2E69	1-B376
1-2E6B	1-B37B
1-2E6D	1-B426
1-2E6E	1-2D87
1-2E6F	1-B43B
1-2E70	1-B43C
1-2E71	1-F3A4
1-2E72	1-B447
1-2E73	1-B44A
1-2E74	1-B450
1-2E75	1-4FB7
1-2E76	1-B468
1-2E77	1-B472
1-2E78	1-B52A
1-2E79	1-B47A
1-2E7A	1-B47D
1-2E7B	1-B47E
1-2E7C	1-B524
1-2E7D	1-B529
1-2E7E	1-B52C
1-2F21	1-B52F
1-2F22	1-B539
1-2F23	1-B544
1-2F24	1-B54C
1-2F25	1-B54F
1-2F26	1-B551
1-2F27	1-B55B
1-2F28	1-B560
1-2F29	1-B566
1-2F2A	1-B568
1-2F2B	1-B56A
1-2F2C	1-33F9
1-2F2D	1-B573
1-2F2E	1-B57C
1-2F2F	1-F796
1-2F30	1-B62B
1-2F31	1-B62E
1-2F32	1-B63A
1-2F33	1-B643
1-2F34	1-32B4
1-2F35	1-B64D
1-2F36	1-3DA4
1-2F37	1-B650
1-2F38	1-B651
1-2F39	1-B652
1-2F3A	1-B65A
1-2F3B	1-B65D
1-2F3C	1-B662
1-2F3D	1-B664
1-2F3E	1-B667
1-2F3F	1-B66B
1-2F40	1-B66C
1-2F41	1-B726
1-2F44	1-B736
1-2F45	1-B737
1-2F46	1-B738
1-2F47	1-B749
1-2F48	1-B74E
1-2F49	1-B752
1-2F4A	1-B75B
1-2F4D	1-B765
1-2F4E	1-B767
1-2F4F	1-B768
1-2F50	1-B76A
1-2F51	1-B76E
1-2F52	1-B772
1-2F53	1-B774
1-2F54	1-B775
1-2F55	1-B779
1-2F56	1-B77D
1-2F57	1-F5F3
1-2F58	1-B834
1-2F59	1-B835
1-2F5B	1-B839
1-2F5C	1-B83F
1-2F5D	1-F3A9
